ward_code,ward_name,ward_name_en,ward_full_name,ward_full_name_en,ward_type,province_code,province_name,province_name_en,center_lat,center_lng,bbox_south,bbox_north,bbox_west,bbox_east,area_km2
09739,Phúc Lộc,Phuc Loc,Xã Phúc Lộc,Phuc Loc Commune,Xã,01,Hà Nội,Hanoi,21.146755,105.574757,21.117232,21.173686,105.515146,105.627769,41.15
00136,Phúc Lợi,Phuc Loi,Phường Phúc Lợi,Phuc Loi Ward,Phường,01,Hà Nội,Hanoi,21.042304,105.918635,21.024735,21.058172,105.894653,105.938725,10.41
10459,Phúc Sơn,Phuc Son,Xã Phúc Sơn,Phuc Son Commune,Xã,01,Hà Nội,Hanoi,20.781075,105.681198,20.732601,20.830088,105.647631,105.726402,49.31
00466,Phúc Thịnh,Phuc Thinh,Xã Phúc Thịnh,Phuc Thinh Commune,Xã,01,Hà Nội,Hanoi,21.162276,105.815375,21.124597,21.192936,105.770173,105.856307,42.63
09715,Phúc Thọ,Phuc Tho,Xã Phúc Thọ,Phuc Tho Commune,Xã,01,Hà Nội,Hanoi,21.110334,105.554623,21.075173,21.139436,105.500501,105.611561,39.66
10279,Phượng Dực,Phuong Duc,Xã Phượng Dực,Phuong Duc Commune,Xã,01,Hà Nội,Hanoi,20.772139,105.836852,20.73712,20.806726,105.791799,105.889808,44.69
00352,Phương Liệt,Phuong Liet,Phường Phương Liệt,Phuong Liet Ward,Phường,01,Hà Nội,Hanoi,20.992562,105.831844,20.983633,21.002433,105.821462,105.841259,3.2
10072,Quảng Bị,Quang Bi,Xã Quảng Bị,Quang Bi Commune,Xã,01,Hà Nội,Hanoi,20.873084,105.702767,20.843645,20.899863,105.645761,105.75635,37.14
08974,Quang Minh,Quang Minh,Xã Quang Minh,Quang Minh Commune,Xã,01,Hà Nội,Hanoi,21.192629,105.751278,21.168111,21.229123,105.711774,105.790896,32.17
09619,Quảng Oai,Quang Oai,Xã Quảng Oai,Quang Oai Commune,Xã,01,Hà Nội,Hanoi,21.174553,105.427619,21.135243,21.22941,105.374522,105.475402,49.26
09895,Quốc Oai,Quoc Oai,Xã Quốc Oai,Quoc Oai Commune,Xã,01,Hà Nội,Hanoi,21.011603,105.649711,20.970552,21.046295,105.627921,105.677578,24
00376,Sóc Sơn,Soc Son,Xã Sóc Sơn,Soc Son Commune,Xã,01,Hà Nội,Hanoi,21.246306,105.849398,21.188865,21.301971,105.805479,105.887512,68.24
09574,Sơn Tây,Son Tay,Phường Sơn Tây,Son Tay Ward,Phường,01,Hà Nội,Hanoi,21.14423,105.489706,21.112747,21.172096,105.45062,105.524657,23.08
09871,Sơn Đồng,Son Dong,Xã Sơn Đồng,Son Dong Commune,Xã,01,Hà Nội,Hanoi,21.024178,105.704743,21.003133,21.05148,105.663381,105.738936,21.57
09694,Suối Hai,Suoi Hai,Xã Suối Hai,Suoi Hai Commune,Xã,01,Hà Nội,Hanoi,21.123991,105.377458,21.083123,21.166547,105.318309,105.43146,51.56
10144,Tam Hưng,Tam Hung,Xã Tam Hưng,Tam Hung Commune,Xã,01,Hà Nội,Hanoi,20.875806,105.798474,20.839643,20.917232,105.767474,105.824454,29.45
00103,Tây Hồ,Tay Ho,Phường Tây Hồ,Tay Ho Ward,Phường,01,Hà Nội,Hanoi,21.057973,105.820222,21.039538,21.084566,105.804415,105.840144,10.72
00634,Tây Mỗ,Tay Mo,Phường Tây Mỗ,Tay Mo Ward,Phường,01,Hà Nội,Hanoi,21.000883,105.747206,20.989572,21.010558,105.730485,105.762648,5.56
10003,Tây Phương,Tay Phuong,Xã Tây Phương,Tay Phuong Commune,Xã,01,Hà Nội,Hanoi,21.036528,105.611545,21.001334,21.077855,105.583051,105.640009,31.1
00613,Tây Tựu,Tay Tuu,Phường Tây Tựu,Tay Tuu Ward,Phường,01,Hà Nội,Hanoi,21.06414,105.738936,21.047784,21.082554,105.724135,105.760872,7.54
09955,Thạch Thất,Thach That,Xã Thạch Thất,Thach That Commune,Xã,01,Hà Nội,Hanoi,21.069175,105.56215,21.030778,21.102059,105.523182,105.59458,31.93
00643,Thanh Liệt,Thanh Liet,Phường Thanh Liệt,Thanh Liet Ward,Phường,01,Hà Nội,Hanoi,20.970221,105.806147,20.949646,20.991481,105.79208,105.824952,6.44
10114,Thanh Oai,Thanh Oai,Xã Thanh Oai,Thanh Oai Commune,Xã,01,Hà Nội,Hanoi,20.84666,105.766558,20.811602,20.877412,105.728395,105.801464,26.86
00640,Thanh Trì,Thanh Tri,Xã Thanh Trì,Thanh Tri Commune,Xã,01,Hà Nội,Hanoi,20.938832,105.859384,20.922179,20.956624,105.835836,105.886167,9.94
00367,Thanh Xuân,Thanh Xuan,Phường Thanh Xuân,Thanh Xuan Ward,Phường,01,Hà Nội,Hanoi,20.999488,105.804616,20.988306,21.01055,105.79021,105.818108,3.24
00493,Thiên Lộc,Thien Loc,Xã Thiên Lộc,Thien Loc Commune,Xã,01,Hà Nội,Hanoi,21.124066,105.771536,21.097728,21.154575,105.731857,105.808958,27.96
00475,Thư Lâm,Thu Lam,Xã Thư Lâm,Thu Lam Commune,Xã,01,Hà Nội,Hanoi,21.16479,105.887854,21.118897,21.206454,105.84624,105.927294,43.84
00562,Thuận An,Thuan An,Xã Thuận An,Thuan An Commune,Xã,01,Hà Nội,Hanoi,21.029935,105.986476,20.996517,21.068713,105.946904,106.020128,29.67
00598,Thượng Cát,Thuong Cat,Phường Thượng Cát,Thuong Cat Ward,Phường,01,Hà Nội,Hanoi,21.086588,105.749728,21.065795,21.108003,105.724714,105.772514,14.77
10231,Thượng Phúc,Thuong Phuc,Xã Thượng Phúc,Thuong Phuc Commune,Xã,01,Hà Nội,Hanoi,20.829869,105.855451,20.795035,20.864219,105.826252,105.891272,28.91
